Crit Consensus,Description,Director,Entity,Genre,Id,Mpa Rating,Stars,Title,Year,F1,Imdb Gross,IMDB Rating,Imdb Votes,Runtime,Tom Ratings,Tomato Meter,Tomato Review,Tomatoes Audience Score,Tomatoes Score Delta
"Louder, campier, and more incoherent than its predecessors, Blade: Trinity seems content to emphasize style over substance and rehash familiar themes.","Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",David S. Goyer,MARVEL,"Action, Adventure, Fantasy",12,R,"David S. Goyer,Wesley Snipes,Kris Kristofferson,Parker Posey,Ryan Reynolds",Blade: Trinity,2004,12,52410000,5.8,168363,113,250000,25,168,58,33
"Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.","Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",Rob Bowman,MARVEL,"Action, Adventure, Crime",13,PG-13,"Rob Bowman,Jennifer Garner,Goran Visnjic,Will Yun Lee,Kirsten Zien",Elektra,2005,13,24410000,4.7,88518,97,250000,11,166,29,18
"Marred by goofy attempts at wit, subpar acting, and bland storytelling, Fantastic Four is a mediocre attempt to bring Marvel's oldest hero team to the big screen.","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Tim Story,MARVEL,"Action, Adventure, Fantasy",14,PG-13,"Tim Story,Ioan Gruffudd,Michael Chiklis,Chris Evans,Jessica Alba",Fantastic Four (2005),2005,14,154700000,5.7,315297,106,250000,27,214,45,18
"X-Men: The Last Stand provides plenty of mutant action for fans of the franchise, even if it does so at the expense of its predecessors' deeper character moments.","The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.",Brett Ratner,MARVEL,"Action, Adventure, Sci-Fi",15,PG-13,"Brett Ratner,Patrick Stewart,Hugh Jackman,Halle Berry,Famke Janssen",X-Men: The Last Stand,2006,15,234360000,6.7,490269,104,250000,57,240,61,4
"Ghost Rider is a sour mix of morose, glum histrionics amidst jokey puns and hammy dialogue.","When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Mark Steven Johnson,MARVEL,"Action, Fantasy, Thriller",16,PG-13,"Mark Steven Johnson,Nicolas Cage,Eva Mendes,Sam Elliott,Matt Long",Ghost Rider,2007,16,115800000,5.3,226797,110,250000,26,141,48,22
"Though there are more characters and plotlines, and the action sequences still dazzle, Spider-Man 3 nonetheless isn't quite as refined as the first two.","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Sam Raimi,MARVEL,"Action, Adventure, Sci-Fi",17,PG-13,"Sam Raimi,Tobey Maguire,Kirsten Dunst,Topher Grace,Thomas Haden Church",Spider-Man 3,2007,17,336530000,6.2,510723,139,250000,63,262,51,-12
"While an improvement on its predecessor, Fantastic Four: Rise of the Silver Surfer is nevertheless a juvenile, simplistic picture that has little benefit beyond its special effects.",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,Tim Story,MARVEL,"Action, Adventure, Fantasy",18,PG,"Tim Story,Ioan Gruffudd,Jessica Alba,Chris Evans,Michael Chiklis",Fantastic Four: Rise of the Silver Surfer,2007,18,131920000,5.6,253897,92,250000,37,171,51,14
"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Jon Favreau,MARVEL,"Action, Adventure, Sci-Fi",19,PG-13,"Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges",Iron Man,2008,19,318410000,7.9,964114,126,250000,94,281,91,-3
"The Incredible Hulk may not be quite the smashing success that fans of Marvel's raging behemoth might hope for, but it offers more than enough big green action to make up for its occasionally puny narrative.","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",Louis Leterrier,MARVEL,"Action, Adventure, Sci-Fi",20,PG-13,"Louis Leterrier,Edward Norton,Liv Tyler,Tim Roth,William Hurt",The Incredible Hulk,2008,20,134520000,6.7,445822,112,250000,67,238,70,3
"Punisher: War Zone recalls the excessively violent, dialogue-challenged actioners of the 1980s, and coincidentally feels two decades out of date.","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",Lexi Alexander,MARVEL,"Action, Crime, Drama",21,R,"Lexi Alexander,Ray Stevenson,Dominic West,Julie Benz,Doug Hutchison",Punisher: War Zone,2008,21,7950000,5.9,60767,103,100000,29,111,42,13
"Though Hugh Jackman gives his all, he can't help X-Men Origins: Wolverine overcome a cliche-ridden script and familiar narrative.","The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Gavin Hood,MARVEL,"Action, Sci-Fi",22,PG-13,"Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston",X-Men Origins: Wolverine,2009,22,179880000,6.6,475561,107,250000,37,263,58,21
"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot. ","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",Jon Favreau,MARVEL,"Action, Adventure, Sci-Fi",23,PG-13,"Jon Favreau,Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle",Iron Man 2,2010,23,312430000,7,742416,124,250000,72,304,71,-1
"A dazzling blockbuster that tempers its sweeping scope with wit, humor, and human drama, Thor is mighty Marvel entertainment.","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,MARVEL,"Action, Adventure, Fantasy",24,PG-13,"Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston",Thor,2011,24,181030000,7,767687,115,100000,77,291,76,-1
"With a strong script, stylish direction, and powerful performances from its well-rounded cast, X-Men: First Class is a welcome return to form for the franchise.","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",Matthew Vaughn,MARVEL,"Action, Adventure, Sci-Fi",25,PG-13,"Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon",X: First Class,2011,25,146410000,7.7,655399,131,100000,86,298,87,1
"With plenty of pulpy action, a pleasantly retro vibe, and a handful of fine performances, Captain America is solidly old-fashioned blockbuster entertainment.","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Joe Johnston,MARVEL,"Action, Adventure, Sci-Fi",26,PG-13,"Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell",Captain America: The First Avenger,2011,26,176650000,6.9,764786,124,100000,80,273,74,-6
"With a weak script, uneven CG work, and a Nic Cage performance so predictably loony it's no longer amusing, Ghost Rider: Spirit of Vengeance aims to be trashy fun but ends up as plain trash.","Johnny Blaze, tortured by the Ghost Rider's curse, gets a chance of redemption through protecting the Devil's son, whose father is pursuing him.",Mark Neveldine,MARVEL,"Action, Fantasy, Thriller",27,PG-13,"Brian Taylor,Nicolas Cage,Ciarán Hinds,Idris Elba,Violante Placido",Ghost Rider: Spirit of Vengeance,2011,27,51770000,4.3,112898,96,100000,18,114,31,13
"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,MARVEL,"Action, Adventure, Sci-Fi",28,PG-13,"Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner",The Avengers,2012,28,623280000,8,1286985,143,250000,91,362,91,0
"A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.",Marc Webb,MARVEL,"Action, Adventure, Fantasy",29,PG-13,"Marc Webb,Andrew Garfield,Emma Stone,Rhys Ifans,Irrfan Khan",The Amazing Spider-Man,2012,29,262030000,6.9,569274,136,250000,72,334,77,5
"With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,MARVEL,"Action, Adventure, Sci-Fi",30,PG-13,"Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle",Iron Man Three,2013,30,409010000,7.1,775425,130,250000,79,328,78,-1
"Although its final act succumbs to the usual cartoonish antics, The Wolverine is one superhero movie that manages to stay true to the comics while keeping casual viewers entertained.","Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants.",James Mangold,MARVEL,"Action, Sci-Fi",31,PG-13,"James Mangold,Hugh Jackman,Will Yun Lee,Tao Okamoto,Rila Fukushima",The Wolverine,2013,31,132560000,6.7,437712,126,250000,71,258,69,-2
"It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Alan Taylor,MARVEL,"Action, Adventure, Fantasy",32,PG-13,"Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård",Thor: The Dark World,2013,32,206360000,6.9,614115,112,250000,66,284,75,9
"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",Anthony Russo,MARVEL,"Action, Adventure, Sci-Fi",33,PG-13,"Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford",Captain America: The Winter Soldier,2014,33,259770000,7.7,759721,136,250000,90,306,92,2
"While the cast is outstanding and the special effects are top-notch, the latest installment of the Spidey saga suffers from an unfocused narrative and an overabundance of characters.","When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb,MARVEL,"Action, Adventure, Fantasy",34,PG-13,"Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,Paul Giamatti",The Amazing Spider-Man 2,2014,34,202850000,6.6,425691,142,100000,51,309,64,13
X-Men: Days of Future Past combines the best elements of the series to produce a satisfyingly fast-paced outing that ranks among the franchise's finest installments.,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Bryan Singer,MARVEL,"Action, Adventure, Sci-Fi",35,PG-13,"Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy",X-Men: Days of Future Past,2014,35,233920000,7.9,671146,132,250000,90,329,91,1
"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,MARVEL,"Action, Adventure, Comedy",36,PG-13,"James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana",Guardians of the Galaxy,2014,36,333180000,8,1069895,121,250000,92,332,92,0
"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,MARVEL,"Action, Adventure, Sci-Fi",37,PG-13,"Joss Whedon,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",Avengers: Age of Ultron,2015,37,459010000,7.3,772476,141,250000,76,372,83,7
"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.","Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",Peyton Reed,MARVEL,"Action, Adventure, Comedy",38,PG-13,"Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll,Evangeline Lilly",Ant-Man,2015,38,180200000,7.3,590834,117,100000,83,334,86,3
"Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Josh Trank,MARVEL,"Action, Adventure, Sci-Fi",39,PG-13,"Josh Trank,Miles Teller,Kate Mara,Michael B. Jordan,Jamie Bell",Fantastic Four (2015),2015,39,56120000,4.2,155942,100,100000,9,260,18,9
"Fast, funny, and gleefully profane, the fourth-wall-busting Deadpool subverts superhero film formula with wildly entertaining -- and decidedly non-family-friendly -- results.","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Tim Miller,MARVEL,"Action, Adventure, Comedy",40,R,"Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein",Deadpool,2016,40,363070000,8,927737,108,100000,85,347,90,5
Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Anthony Russo,MARVEL,"Action, Adventure, Sci-Fi",41,PG-13,"Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan",Captain America: Civil War,2016,41,408080000,7.8,689763,147,100000,90,421,89,-1
"Overloaded action and a cliched villain take the focus away from otherwise strong performers and resonant themes, making X-Men: Apocalypse a middling chapter of the venerable superhero franchise.","In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",Bryan Singer,MARVEL,"Action, Adventure, Sci-Fi",42,PG-13,"Bryan Singer,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult",X-Men: Apocalypse,2016,42,155440000,6.9,402935,144,100000,47,343,65,18
"Doctor Strange artfully balances its outré source material against the blockbuster constraints of the MCU, delivering a thoroughly entertaining superhero origin story in the bargain.","While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson,MARVEL,"Action, Adventure, Fantasy",43,PG-13,"Scott Derrickson,Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong",Doctor Strange,2016,43,232640000,7.5,623361,115,100000,89,382,85,-4
"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",James Mangold,MARVEL,"Action, Drama, Sci-Fi",44,R,"James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook",Logan,2017,44,226280000,8.1,670710,137,50000,93,420,90,-3
"Guardians of the Galaxy Vol. 2's action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor.","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",James Gunn,MARVEL,"Action, Adventure, Comedy",45,PG-13,"James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel",Guardians of the Galaxy Vol. 2,2017,45,389810000,7.6,592260,136,100000,85,421,87,2
"Spider-Man: Homecoming does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building.","Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",Jon Watts,MARVEL,"Action, Adventure, Sci-Fi",46,PG-13,"Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei",Spider-Man: Homecoming,2017,46,334200000,7.4,536012,133,100000,92,393,87,-5
"Exciting, funny, and above all fun, Thor: Ragnarok is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe.","Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,MARVEL,"Action, Adventure, Comedy",47,PG-13,"Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo",Thor: Ragnarok,2017,47,315060000,7.9,620623,130,50000,93,434,87,-6
Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,MARVEL,"Action, Adventure, Sci-Fi",48,PG-13,"Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira",Black Panther,2018,48,700060000,7.3,655779,134,50000,96,523,79,-17
"Avengers: Infinity War ably juggles a dizzying array of MCU heroes in the fight against their gravest threat yet, and the result is a thrilling, emotionally resonant blockbuster that (mostly) realizes its gargantuan ambitions.",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Anthony Russo,MARVEL,"Action, Adventure, Sci-Fi",49,PG-13,"Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans",Avengers: Infinity War,2018,49,678820000,8.4,888104,149,50000,85,480,91,6
"Though it threatens to buckle under the weight of its meta gags, Deadpool 2 is a gory, gleeful lampoon of the superhero genre buoyed by Ryan Reynolds' undeniable charm.","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,MARVEL,"Action, Adventure, Comedy",50,R,"David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison",Deadpool 2,2018,50,324590000,7.7,501971,119,25000,84,419,85,1
"A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser.","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Peyton Reed,MARVEL,"Action, Adventure, Comedy",51,PG-13,"Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Walton Goggins",Ant-Man and the Wasp,2018,51,216650000,7,329600,118,25000,87,435,75,-12
"Venom's first standalone movie turns out to be like the comics character in all the wrong ways - chaotic, noisy, and in desperate need of a stronger attachment to Spider-Man.","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Ruben Fleischer,MARVEL,"Action, Adventure, Sci-Fi",52,PG-13,"Ruben Fleischer,Tom Hardy,Michelle Williams,Riz Ahmed,Scott Haze",Venom,2018,52,213520000,6.7,383743,112,25000,29,354,81,52
"Packed with action, humor, and visual thrills, Captain Marvel introduces the MCU's latest hero with an origin story that makes effective use of the franchise's signature formula.",Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Anna Boden,MARVEL,"Action, Adventure, Sci-Fi",53,PG-13,"Anna Boden,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law",Captain Marvel,2019,53,426830000,6.8,473437,123,100000,79,537,45,-34
"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,MARVEL,"Action, Adventure, Drama",54,PG-13,"Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth",Avengers: Endgame,2019,54,858370000,8.4,890937,181,50000,94,541,90,-4
Dark Phoenix ends an era of the X-Men franchise by taking a second stab at adapting a classic comics arc -- with deeply disappointing results.,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",Simon Kinberg,MARVEL,"Action, Adventure, Sci-Fi",55,PG-13,"Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult",X-Men: Dark Phoenix,2019,55,65850000,5.7,164427,113,10000,22,379,64,42
"A breezily unpredictable blend of teen romance and superhero action, Spider-Man: Far from Home stylishly sets the stage for the next era of the MCU.","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",Jon Watts,MARVEL,"Action, Adventure, Sci-Fi",56,PG-13,"Jon Watts,Tom Holland,Samuel L. Jackson,Jake Gyllenhaal,Marisa Tomei",Spider-Man: Far from Home,2019,56,390530000,7.5,353385,129,50000,90,449,95,5
"Rendering a list of potentially explosive ingredients mostly inert, The New Mutants is a franchise spinoff that's less than the sum of its super-powered parts.","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",Josh Boone,MARVEL,"Action, Horror, Mystery",57,PG-13,"Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Alice Braga",The New Mutants,2020,57,0,5.3,59535,94,2500,35,126,56,21
"Even at under an hour, this children's fantasy is sluggishly paced by today's standards...but it does have its charms and a relevant social message at its core.","When underground beings explore the surface world from a deep oil well and inadvertantly cause a panic, only Superman can prevent a tragedy.",Lee Sholem,DC COMICS,"Action, Adventure, Drama",58,Passed,"George Reeves,Phyllis Coates,Jeff Corey,Walter Reed",Superman and the Mole-Men,1951,58,0,5.7,1828,58,250,,2,83,
